City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,9.43,54,5,2.93,GS,1738079249
1,yellowknife,62.456,-114.3525,-12.71,85,100,3.6,CA,1738079272
2,edinburgh of the seven seas,-37.0676,-12.3116,16.22,75,100,11.72,SH,1738079273
3,pontes e lacerda,-15.2261,-59.3353,34.67,43,20,2.07,BR,1738079277
4,geraldton,-28.7667,114.6,25.23,78,89,2.06,AU,1738079278
5,viedma,-40.8135,-62.9967,30.51,14,0,5.23,AR,1738079279
6,la mira,18.035,-102.3266,26.47,71,53,1.68,MX,1738079280
7,ta`u,-14.2336,-169.5144,27.06,77,96,1.82,AS,1738079281
8,amga,60.8953,131.9608,-32.62,99,100,0.41,RU,1738079282
9,thompson,55.7435,-97.8558,-20.91,77,75,4.12,CA,1738079283
10,waitangi,-43.9535,-176.5597,12.57,62,3,0.49,NZ,1738079284
11,ushuaia,-54.8,-68.3,11.81,58,20,4.12,AR,1738079173
12,tevriz,57.509,72.4042,-23.66,100,90,0.33,RU,1738079286
13,altamont,42.2068,-121.7372,-3.45,56,0,1.79,US,1738079288
14,kavaratti,10.5669,72.642,26.67,68,97,1.49,IN,1738079289
15,hawaiian paradise park,19.5933,-154.9731,20.73,93,100,4.63,US,1738079244
16,invercargill,-46.4,168.35,15.57,85,100,5.81,NZ,1738079292
17,liski,50.9841,39.5155,2.77,84,19,3.91,RU,1738079293
18,xam nua,20.4197,104.0439,5.92,86,30,1.34,LA,1738079294
19,maturin,9.75,-63.1767,28.91,100,37,2.57,VE,1738079295
20,puerto natales,-51.7236,-72.4875,17.25,42,100,9.77,CL,1738079185
21,galliano,29.4422,-90.2992,12.0,82,100,3.6,US,1738079297
22,danli,14.0333,-86.5833,24.0,59,66,3.57,HN,1738079298
23,puryong,42.0606,129.7117,-10.16,83,100,3.89,KP,1738079300
24,tiksi,71.6872,128.8694,-25.91,92,100,7.26,RU,1738079301
25,ilulissat,69.2167,-51.1,-11.99,37,20,9.26,GL,1738079302
26,blackmans bay,-43.0167,147.3167,11.07,69,0,2.76,AU,1738079303
27,placido de castro,-10.3353,-67.1856,34.99,37,48,1.78,BR,1738079304
28,daru,-9.0763,143.2092,26.22,89,100,1.97,PG,1738079305
29,adamstown,-25.066,-130.1015,24.96,67,1,2.69,PN,1738079306
30,margaret river,-33.95,115.0667,17.46,73,1,6.2,AU,1738079307
31,bethel,41.3712,-73.414,4.13,56,75,6.69,US,1738079308
32,isafjordur,66.0755,-23.124,-1.98,74,75,2.57,IS,1738079309
33,businga,3.3333,20.8833,33.64,18,29,0.93,CD,1738079310
34,santa elena de uairen,4.6167,-61.1333,27.04,46,96,2.88,VE,1738079312
35,yeniseysk,58.4497,92.1703,-21.45,84,93,4.9,RU,1738079313
36,punta arenas,-53.15,-70.9167,15.06,55,75,12.86,CL,1738079182
37,mugia,43.1041,-9.2179,13.28,61,97,8.88,ES,1738079315
38,rosario del tala,-32.3029,-59.1455,36.27,24,99,3.09,AR,1738079316
39,metlili chaamba,32.2667,3.6333,22.52,31,75,4.12,DZ,1738079317
40,cururupu,-1.8283,-44.8683,29.66,71,61,2.34,BR,1738079318
41,al kharijah,25.4514,30.5464,17.74,41,7,4.29,EG,1738079319
42,alaghsas,17.0187,8.0168,29.94,11,0,8.23,NE,1738079320
43,aquiraz,-3.9014,-38.3911,31.05,62,11,4.52,BR,1738079321
44,laguna,38.421,-121.4238,2.2,87,0,0.0,US,1738079322
45,port mathurin,-19.6833,63.4167,26.88,78,55,6.34,MU,1738079323
46,minas de marcona,-15.2119,-75.1103,23.24,57,100,3.45,PE,1738079324
47,longyearbyen,78.2186,15.6401,-0.09,69,40,11.32,SJ,1738079325
48,yashkul',46.1711,45.3435,4.6,76,99,5.18,RU,1738079326
49,katsuura,35.1333,140.3,8.82,48,30,13.69,JP,1738079328
50,camana,-16.6228,-72.7111,22.9,78,84,3.89,PE,1738079329
51,faya-largeau,17.9257,19.1043,27.94,13,0,8.23,TD,1738079330
52,port-aux-francais,-49.35,70.2167,5.38,71,54,12.53,TF,1738079245
53,burutu,5.3509,5.5076,31.23,57,21,6.28,NG,1738079332
54,kodiak,57.79,-152.4072,-5.27,63,0,2.57,US,1738079333
55,wailua homesteads,22.0669,-159.378,18.44,63,100,5.14,US,1738079334
56,badger,64.8,-147.5333,-14.86,68,75,2.57,US,1738079335
57,joshimath,30.5667,79.5667,3.55,33,0,4.99,IN,1738079336
58,gobabis,-22.45,18.9667,32.73,17,62,5.9,,1738079337
59,vilyuysk,63.7553,121.6247,-36.52,100,58,1.6,RU,1738079338
60,newnham,-41.3833,147.1333,10.53,62,100,4.12,AU,1738079341
61,karasuk,53.7377,78.0403,-17.42,98,91,2.9,RU,1738079342
62,semenivka,52.1783,32.5818,5.27,89,63,4.07,UA,1738079343
63,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,50,75,6.0,RU,1738079344
64,mahenge,-8.6833,36.7167,21.43,83,18,1.15,TZ,1738079345
65,mil'kovo,55.6078,37.7956,4.24,65,100,3.17,RU,1738079346
66,hermanus,-34.4187,19.2345,25.45,65,5,10.53,ZA,1738079347
67,amos,48.5669,-78.1162,-21.1,87,100,3.72,CA,1738079348
68,papatowai,-46.5619,169.4708,15.11,65,100,3.36,NZ,1738079349
69,labrador city,52.9463,-66.9114,-21.05,65,75,8.75,CA,1738079350
70,arkadelphia,34.1209,-93.0538,1.87,93,75,0.0,US,1738079351
71,ulaangom,49.9811,92.0667,-23.84,96,100,0.89,MN,1738079353
72,port-cartier,50.0334,-66.8654,-16.07,67,30,5.82,CA,1738079354
73,wladyslawowo,54.7909,18.4009,9.41,92,100,3.51,PL,1738079355
74,hadibu,12.65,54.0333,24.05,81,43,3.54,YE,1738079356
75,vila franca do campo,37.7167,-25.4333,18.27,99,30,7.34,PT,1738079357
76,vorkuta,67.5,64.0,-24.05,99,94,0.86,RU,1738079358
77,zambezi,-13.5432,23.1047,22.41,87,88,2.3,ZM,1738079360
78,buka,40.8108,69.1986,3.74,68,100,1.72,UZ,1738079361
79,naivasha,-0.7167,36.4359,15.75,93,100,0.77,KE,1738079362
80,brownwood,31.7093,-98.9912,9.42,62,100,2.06,US,1738079363
81,george town,5.4112,100.3354,27.96,65,20,2.68,MY,1738079364
82,namibe,-15.1961,12.1522,25.87,73,37,6.77,AO,1738079365
83,kailua-kona,19.6406,-155.9956,20.31,76,54,0.45,US,1738079346
84,bredasdorp,-34.5322,20.0403,23.0,75,87,10.52,ZA,1738079368
85,nouadhibou,20.931,-17.0347,30.99,22,0,5.66,MR,1738079369
86,la'ie,21.6477,-157.9253,21.08,68,75,2.68,US,1738079370
87,gadzhiyevo,69.2551,33.3362,-5.43,82,100,6.22,RU,1738079371
88,klyuchi,52.2667,79.1667,-12.8,96,100,3.49,RU,1738079372
89,bei'an,46.4398,126.2373,-16.43,98,89,3.34,CN,1738079373
90,hinton,53.4001,-117.5857,-1.73,78,93,2.55,CA,1738079374
91,lihue,21.9789,-159.3672,18.77,63,100,5.14,US,1738079375
92,westport,41.1415,-73.3579,4.84,52,62,4.92,US,1738079376
93,taltal,-25.4,-70.4833,21.1,72,6,2.32,CL,1738079377
94,koge,55.458,12.1821,5.83,89,20,3.09,DK,1738079378
95,severo-yeniseyskiy,60.3725,93.0408,-30.98,94,47,2.54,RU,1738079379
96,tromso,69.6496,18.957,1.01,60,75,7.2,NO,1738079380
97,bikenibeu village,1.3673,173.1241,25.98,83,40,4.12,KI,1738079381
98,khandyga,62.6667,135.6,-37.89,98,99,1.02,RU,1738079382
99,bilibino,68.0546,166.4372,-38.91,99,77,1.43,RU,1738079253
100,mejit,10.2753,170.8646,26.59,81,62,9.11,MH,1738079386
101,kingston,17.997,-76.7936,29.53,65,20,1.54,JM,1738079127
102,albany,42.6001,-73.9662,-3.54,42,59,2.68,US,1738079272
103,dom pedrito,-30.9828,-54.6731,36.23,23,0,3.16,BR,1738079254
104,kiruna,67.8557,20.2251,-5.49,93,100,1.54,SE,1738079390
105,cill airne,52.05,-9.5167,9.03,76,75,4.63,IE,1738079391
106,whitehorse,60.7161,-135.0538,-4.57,54,20,2.06,CA,1738079150
107,west island,-12.1568,96.8225,27.99,89,40,3.09,CC,1738079393
108,puerto ayora,-0.7393,-90.3518,26.42,92,84,2.24,EC,1738079394
109,belomorsk,64.5232,34.7668,-1.27,95,100,3.91,RU,1738079395
110,fort bragg,35.139,-79.006,9.9,60,0,3.6,US,1738079396
111,pisco,-13.7,-76.2167,24.03,78,0,2.06,PE,1738079335
112,colonia,50.9333,6.95,9.69,74,75,7.72,DE,1738079367
113,ceerigaabo,10.6162,47.368,17.27,37,100,2.87,SO,1738079400
114,rakops,-21.0167,24.3333,31.37,26,8,3.5,BW,1738079401
115,enewetak,11.3474,162.3373,27.16,77,62,7.97,MH,1738079200
116,murun-kuren,49.6342,100.1625,-19.49,94,100,0.54,MN,1738079403
117,ballina,-28.8667,153.5667,22.23,84,55,3.9,AU,1738079404
118,iskateley,67.6803,53.1512,-18.61,100,79,2.32,RU,1738079405
119,mili,6.0815,171.735,26.85,83,100,7.16,MH,1738079406
120,sao joao da barra,-21.6403,-41.0511,30.05,88,100,4.81,BR,1738079407
121,kristinestad,62.2743,21.376,1.2,98,100,3.54,FI,1738079408
122,tekkekoy,41.2117,36.46,8.86,93,0,2.06,TR,1738079409
123,franklin,39.9667,-83.0166,3.63,63,20,5.14,US,1738079161
124,nyala,12.05,24.8833,25.08,14,11,3.84,SD,1738079412
125,desvres,50.6688,1.8348,9.65,85,97,9.51,FR,1738079413
126,talnakh,69.4865,88.3972,-26.29,89,24,3.29,RU,1738079414
127,mar del plata,-38.0023,-57.5575,22.19,67,0,5.66,AR,1738079137
128,ankang,32.68,109.0172,5.73,53,0,0.36,CN,1738079416
129,kloulklubed,7.0419,134.2556,28.42,76,76,7.13,PW,1738079417
130,antofagasta,-23.65,-70.4,23.6,67,31,3.61,CL,1738079418
131,stanley,54.868,-1.6985,5.29,94,75,4.63,GB,1738079295
132,kununurra,-15.7667,128.7333,25.99,89,75,3.6,AU,1738079420
133,ixtapa,20.7,-105.2,16.57,82,75,1.54,MX,1738079421
